project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,5,0,false,40,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-spring-boot/src/test/java/org/apache/logging/log4j/spring/boot/SpringLookupTest.java,log4j-spring-boot/src/test/java/org/apache/logging/log4j/spring/boot/SpringLookupTest.java,org.apache.logging.log4j.spring.boot.SpringLookupTest,SpringLookupTest,20279,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,8,0,false,95,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/MdcPatternConverterTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/MdcPatternConverterTest.java,org.apache.logging.log4j.core.pattern.MdcPatternConverterTest,MdcPatternConverterTest,44860,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,5,17,0,false,124,0,0.000162927637736929,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-spring-boot/src/main/java/org/apache/logging/log4j/spring/boot/Log4j2SpringBootLoggingSystem.java,log4j-spring-boot/src/main/java/org/apache/logging/log4j/spring/boot/Log4j2SpringBootLoggingSystem.java,org.apache.logging.log4j.spring.boot.Log4j2SpringBootLoggingSystem,Log4j2SpringBootLoggingSystem,20286,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,INTERFACE,4,1,0,false,3,0,0.00260168017263774,0,INTERFACE,/data/logging-log4j2/log4j-api/src/main/java/org/apache/logging/log4j/message/FlowMessage.java,log4j-api/src/main/java/org/apache/logging/log4j/message/FlowMessage.java,org.apache.logging.log4j.message.FlowMessage,FlowMessage,3903,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,2,0,false,284,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-perf-test/target/generated-sources/annotations/org/apache/logging/log4j/perf/jmh/jmh_generated/Log4j2AppenderComparisonBenchmark_appenderRAF_jmhTest.java,log4j-perf-test/target/generated-sources/annotations/org/apache/logging/log4j/perf/jmh/jmh_generated/Log4j2AppenderComparisonBenchmark_appenderRAF_jmhTest.java,org.apache.logging.log4j.perf.jmh.jmh_generated.Log4j2AppenderComparisonBenchmark_appenderRAF_jmhTest,Log4j2AppenderComparisonBenchmark_appenderRAF_jmhTest,36672,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,5,0,false,42,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RolloverWithPaddingTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RolloverWithPaddingTest.java,org.apache.logging.log4j.core.appender.rolling.RolloverWithPaddingTest,RolloverWithPaddingTest,12098,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,4,0,false,57,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-api-test/src/test/java/org/apache/logging/log4j/util/StackLocatorUtilTest.java,log4j-api-test/src/test/java/org/apache/logging/log4j/util/StackLocatorUtilTest.java,org.apache.logging.log4j.util.StackLocatorUtilTest,StackLocatorUtilTest,28482,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,1,0,false,233,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-perf-test/target/generated-sources/annotations/org/apache/logging/log4j/perf/jmh/jmh_generated/PatternLayoutBenchmark_byteArrayMDEx_jmhTest.java,log4j-perf-test/target/generated-sources/annotations/org/apache/logging/log4j/perf/jmh/jmh_generated/PatternLayoutBenchmark_byteArrayMDEx_jmhTest.java,org.apache.logging.log4j.perf.jmh.jmh_generated.PatternLayoutBenchmark_byteArrayMDEx_jmhTest,PatternLayoutBenchmark_byteArrayMDEx_jmhTest,36683,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,1,0,false,19,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/FormattingInfoTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/FormattingInfoTest.java,org.apache.logging.log4j.core.pattern.FormattingInfoTest,FormattingInfoTest,44877,unit
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,0,false,CONCRETE_CLASS,0,6,0,false,39,0,0.0000976265182657058,0,CONCRETE_CLASS,/data/logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingAppenderSizeNoCompressTest.java,log4j-core-test/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingAppenderSizeNoCompressTest.java,org.apache.logging.log4j.core.appender.rolling.RollingAppenderSizeNoCompressTest,RollingAppenderSizeNoCompressTest,12112,unit
